GeoFips,GeoName,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39103,"Medina, OH",2702352,2865089,3106537,3329897,3548057,3845426,4161087,4391933,4684337,4963178,5085121,5374437,5667319,5958288,6351679,6725452,6993367,6826880,7063345,7543408,7842049,8051620,8469046,8884394,9309124,9632686,10009347,10434511,11022620,11735723
39105,"Meigs, OH",314803,323123,343490,356539,380182,408255,435899,448053,465291,498689,478133,477798,500917,526717,559491,568447,611038,638000,655780,665570,688041,698637,712854,740446,747543,770686,793565,818147,899448,943701
39107,"Mercer, OH",725942,756035,805289,838697,930467,981683,1026045,994684,1035025,1080418,1082082,1122253,1196640,1207065,1247055,1332834,1468836,1412761,1502285,1637258,1644875,1816471,1908239,1912856,1872329,2021566,2154123,2120090,2287250,2531078
39109,"Miami, OH",1865658,1964874,2086387,2216966,2354252,2502180,2563642,2627327,2772580,2882005,2912534,3016424,3078482,3152878,3399855,3523161,3649467,3510720,3655446,3925217,4055009,4100362,4215256,4385735,4541804,4782272,5010363,5177764,5652921,6085345
39111,"Monroe, OH",225114,224238,238458,237638,241686,256257,272561,280559,289171,300527,307193,321398,316198,302942,311054,338589,372114,372742,381202,415843,413246,420128,427696,430698,419356,447481,483594,500272,558121,578141
39113,"Montgomery, OH",12027468,12448362,12969769,13710928,14179048,14842350,15324954,15656569,16426690,16765768,16887876,17039496,17448962,17659543,18461913,18795627,19194503,18806432,19155770,20139369,20615384,20758096,21611598,22343572,22732116,23671315,24560816,25510353,27570546,29260783
39115,"Morgan, OH",216659,223928,231320,239569,252438,268901,280525,286101,292767,281871,293220,291298,321428,314435,323798,344075,370774,375264,378176,397740,398303,409068,438890,448565,448211,469279,479031,498576,551299,593865
39117,"Morrow, OH",421180,445581,493296,510129,548015,588488,620513,644950,701613,755484,779142,824899,855111,877862,900328,960209,985893,994101,1025683,1101732,1112705,1159984,1182221,1211578,1257812,1311399,1381976,1455446,1594547,1710785
39119,"Muskingum, OH",1380885,1457034,1528429,1570311,1629113,1705817,1793441,1865413,2001945,2114006,2145735,2205659,2296355,2326745,2397564,2491962,2620133,2598800,2667166,2852177,2873677,2994939,3120592,3230891,3256204,3379437,3483368,3617080,3990885,4257333
39121,"Noble, OH",153367,155784,163494,166969,181318,202136,210148,213688,227307,264826,283373,292296,273797,282861,290913,311037,331862,324829,327252,341171,337395,356997,347337,360342,356338,374061,389059,400299,431879,457563
39123,"Ottawa, OH",810311,844787,894414,927297,1002336,1050982,1114594,1133699,1185957,1236906,1257121,1320842,1351736,1397180,1475749,1535876,1584663,1562408,1614146,1693987,1763667,1771476,1829774,1887018,1938572,2007688,2110236,2174535,2319546,2484614
39125,"Paulding, OH",329184,338156,369628,376741,401143,429232,428406,440344,464412,476984,468610,471516,505638,516884,546385,569357,605214,592690,606336,658863,654655,666845,704106,692562,697724,729295,758431,765779,857389,917122
39127,"Perry, OH",434968,451719,485159,509730,526463,562890,586311,600400,634125,689687,725938,753913,792637,826033,857416,910636,967728,968362,1003659,1069870,1090068,1135269,1159936,1203370,1238596,1303936,1342314,1394856,1525336,1642305
39129,"Pickaway, OH",783870,822175,884655,928835,953607,1038300,1079791,1084101,1165592,1226367,1229872,1265824,1382604,1427820,1521827,1599061,1673383,1706445,1771537,1894667,1919610,2001784,2030801,2076906,2162853,2281869,2363456,2459487,2737951,2992515
39131,"Pike, OH",357493,380481,411057,432340,467063,495775,524776,536319,558239,576647,578262,596058,618620,632732,644760,694337,726868,750442,785571,861098,877404,905467,930700,960987,955340,1013887,1040169,1072088,1169502,1243386
39133,"Portage, OH",2609257,2758755,2965213,3130962,3250775,3468787,3686301,3808895,4020719,4184587,4299496,4455485,4591763,4831234,5123936,5293933,5461854,5316329,5566086,5886594,6080443,6163026,6377097,6576468,6621740,6887715,7136856,7364208,7902744,8506535
39135,"Preble, OH",678749,716099,761869,800555,853471,916535,944962,961543,1016303,1066688,1056422,1077079,1160834,1188233,1215964,1249445,1298227,1275076,1307031,1392571,1404973,1416792,1442182,1480331,1519515,1575503,1627719,1674120,1830985,2000606
39137,"Putnam, OH",623359,644911,697572,725052,765054,831479,837824,867812,913678,955803,974342,1035381,1136969,1194120,1274700,1286942,1409273,1279117,1321295,1394746,1387559,1411929,1434663,1462414,1504223,1579406,1657700,1699075,1872421,2023822
39139,"Richland, OH",2210885,2336654,2449623,2527862,2647514,2789024,2870451,2950630,3078560,3230622,3343789,3449539,3493566,3515729,3611010,3713590,3864741,3732933,3764316,3956085,4014900,4069503,4252184,4374678,4381363,4514797,4699237,4947858,5334007,5665390
39141,"Ross, OH",1121193,1175593,1262990,1282764,1362972,1435330,1523477,1572807,1656928,1714325,1756152,1784343,1895303,1951055,2020774,2143016,2218886,2217822,2261273,2397938,2393540,2442378,2507587,2609375,2626110,2733470,2839081,2966468,3211565,3465394
39143,"Sandusky, OH",1136034,1170216,1220580,1249515,1316559,1378130,1420070,1454580,1488731,1553180,1586440,1658582,1703162,1723741,1791067,1884168,1936275,1908537,1979417,2066330,2085039,2147929,2184130,2262205,2272139,2359625,2417134,2468184,2673767,2872650
